split,group,group_name,images,objects,background_images,background_ratio,objects_per_image
train,01,positive_standard,6552,18479,0,0.0,2.8204
train,02,alley_context,1711,4498,188,0.1099,2.6289
train,03,hard_negative,555,0,555,1.0,0.0
train,04,sahi_small_objects,612,2086,0,0.0,3.4085
train,05,ambient_null,2892,23,2885,0.9976,0.008
valid,01,positive_standard,527,1511,0,0.0,2.8672
valid,02,alley_context,42,105,0,0.0,2.5
valid,03,hard_negative,19,0,19,1.0,0.0
valid,04,sahi_small_objects,20,108,0,0.0,5.4
valid,05,ambient_null,233,0,233,1.0,0.0
test,01,positive_standard,452,1245,0,0.0,2.7544
test,02,alley_context,42,132,0,0.0,3.1429
test,03,hard_negative,19,0,19,1.0,0.0
test,04,sahi_small_objects,20,92,0,0.0,4.6
test,05,ambient_null,200,0,200,1.0,0.0
